,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,Density Value,Density Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
89,298.15 kelvin,100.0 kilopascal,2,1,CC(C)(C)O,1.0,,,,,,,0.8085341240048979 gram / milliliter,0.0003498325156392807 gram / milliliter,,,7.531890903206518 dimensionless,1.2650378170484868 dimensionless
90,303.15 kelvin,101.325 kilopascal,2,1,CC(C)(CO)N,1.0,,,,,,,0.9712369520703452 gram / milliliter,0.00027126555976757363 gram / milliliter,,,7.847252290132005 dimensionless,1.454990076286357 dimensionless
91,298.15 kelvin,101.0 kilopascal,2,1,CC(C)CO,1.0,,,,,,,0.8113296784187943 gram / milliliter,0.0002713762965206646 gram / milliliter,,,4.781315445293837 dimensionless,0.6537480923665511 dimensionless
92,300.15 kelvin,101.325 kilopascal,2,1,CC(C)O,1.0,,,,,,,0.794558646267192 gram / milliliter,0.00029643897933339676 gram / milliliter,,,8.40720807457118 dimensionless,0.9370141724312101 dimensionless
93,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,,,,,0.7948134418363912 gram / milliliter,0.0003141995039112415 gram / milliliter,,,,
94,298.15 kelvin,101.325 kilopascal,2,1,CCC#N,1.0,,,,,,,0.7724953850204096 gram / milliliter,0.00023339433903474716 gram / milliliter,,,,
95,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,,,288.76239535590867 kilogram * meter ** 2 / mole / second ** 2,17.680902123017237 kilogram * meter ** 2 / mole / second ** 2,,
96,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,-3.8455621992003215e-07 meter ** 3 / mole,1.681461870947785e-08 meter ** 3 / mole,,,,,,,,
97,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,,,236.82237609705408 kilogram * meter ** 2 / mole / second ** 2,16.705703486633283 kilogram * meter ** 2 / mole / second ** 2,,
98,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,-3.439439816910124e-07 meter ** 3 / mole,1.5405809162796064e-08 meter ** 3 / mole,,,,,,,,
99,298.15 kelvin,101.325 kilopascal,2,1,CCC(=O)C,1.0,,,,,,,0.7829319961209802 gram / milliliter,0.000313115499632893 gram / milliliter,,,,
100,298.15 kelvin,101.3 kilopascal,2,2,O,0.997803,CCCC(=O)OC,0.002197,,,,,,,-9.064921317076369 kilogram * meter ** 2 / mole / second ** 2,15.170917358878137 kilogram * meter ** 2 / mole / second ** 2,,
101,298.15 kelvin,101.325 kilopascal,2,1,CCCC(=O)OC,1.0,,,,,,,0.9182199761735261 gram / milliliter,0.00024718354979096736 gram / milliliter,,,,
102,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCCO,1.0,,,,,,,0.827531802905176 gram / milliliter,0.00018878910593393252 gram / milliliter,,,1.596112303111106 dimensionless,0.1447234174500072 dimensionless
103,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCO,1.0,,,,,,,0.8225590797270736 gram / milliliter,0.00023796376770852205 gram / milliliter,,,2.8058216344318896 dimensionless,0.27143181686738904 dimensionless
104,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,4.494041764994879e-07 meter ** 3 / mole,1.8376624576183464e-08 meter ** 3 / mole,,,,,,,,
105,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,,,292.2009734362364 kilogram * meter ** 2 / mole / second ** 2,17.42604342206465 kilogram * meter ** 2 / mole / second ** 2,,
106,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,3.2529592656753317e-07 meter ** 3 / mole,1.8531505853258207e-08 meter ** 3 / mole,,,,,,,,
107,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,,,187.6222771108005 kilogram * meter ** 2 / mole / second ** 2,18.354476045766802 kilogram * meter ** 2 / mole / second ** 2,,
108,298.15 kelvin,101.325 kilopascal,2,1,CCCCCCCl,1.0,,,,,,,0.8660767414278022 gram / milliliter,0.00018639595659775517 gram / milliliter,,,,
109,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCO,1.0,,,,,,,0.817494085368499 gram / milliliter,0.0002413225691936676 gram / milliliter,,,3.966805317594392 dimensionless,0.5526364765063596 dimensionless
110,298.15 kelvin,101.325 kilopascal,2,1,CCCCCO,1.0,,,,,,,0.8110863885468197 gram / milliliter,0.000260758742328075 gram / milliliter,,,6.29876070265443 dimensionless,0.6587771845966278 dimensionless
111,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC(=O)C,1.0,,,,,,,0.9008503166269092 gram / milliliter,0.0002590818795060256 gram / milliliter,,,,
112,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC=O,1.0,,,,,,,0.9305769849563384 gram / milliliter,0.00026766299191934755 gram / milliliter,,,,
113,298.15 kelvin,101.0 kilopascal,2,1,CCCCO,1.0,,,,,,,0.8043813695468263 gram / milliliter,0.00029365046286756265 gram / milliliter,,,6.342882076494075 dimensionless,0.8471724238439201 dimensionless
114,318.15 kelvin,101.3 kilopascal,2,2,O,0.997504,CCCOC(=O)C,0.002496,,,,,,,-5.7534062293416355 kilogram * meter ** 2 / mole / second ** 2,15.77139603932277 kilogram * meter ** 2 / mole / second ** 2,,
115,298.15 kelvin,101.325 kilopascal,2,1,CCCOC(=O)C,1.0,,,,,,,0.9106231364143595 gram / milliliter,0.0002944991830115942 gram / milliliter,,,,
116,298.15 kelvin,101.0 kilopascal,2,1,CCCOCCO,1.0,,,,,,,0.9307537854689933 gram / milliliter,0.00027098506265028005 gram / milliliter,,,4.511019065174397 dimensionless,0.5680389269378684 dimensionless
117,300.15 kelvin,101.325 kilopascal,2,1,CCCO,1.0,,,,,,,0.7970518309437756 gram / milliliter,0.00036051254160973157 gram / milliliter,,,7.297769964916133 dimensionless,0.7768255903013846 dimensionless
118,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)/C=C(/C)\O,1.0,,,,,58714.040527213256 kilogram * meter ** 2 / mole / second ** 2,289.80700162274286 kilogram * meter ** 2 / mole / second ** 2,,,,,,
119,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)CN=[N+]=[N-],1.0,,,,,66603.8310633786 kilogram * meter ** 2 / mole / second ** 2,188.04949846862667 kilogram * meter ** 2 / mole / second ** 2,,,,,,
120,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)c1cccs1,1.0,,,,,69873.70213736955 kilogram * meter ** 2 / mole / second ** 2,286.9534090833168 kilogram * meter ** 2 / mole / second ** 2,,,,,,
121,303.15 kelvin,101.325 kilopascal,2,1,CCO,1.0,,,,,,,0.7819820612605942 gram / milliliter,0.0004362127740562874 gram / milliliter,,,11.626510163515126 dimensionless,0.9697429598115058 dimensionless
122,298.15 kelvin,101.325 kilopascal,6,1,CCc1ccc(s1)C=O,1.0,,,,,61933.909041978164 kilogram * meter ** 2 / mole / second ** 2,453.1289493788118 kilogram * meter ** 2 / mole / second ** 2,,,,,,
123,303.15 kelvin,101.325 kilopascal,2,1,CN(C)C=O,1.0,,,,,,,0.9835004162097891 gram / milliliter,0.00015392849024191594 gram / milliliter,,,24.763984523984018 dimensionless,1.2598424706419207 dimensionless
124,303.15 kelvin,101.325 kilopascal,2,1,CN(C)CCO,1.0,,,,,,,0.9365976346928965 gram / milliliter,0.00019710914551338606 gram / milliliter,,,12.77187855787198 dimensionless,1.336328419850068 dimensionless
125,303.15 kelvin,101.325 kilopascal,2,1,CN(CCO)CCO,1.0,,,,,,,1.0773216869921303 gram / milliliter,0.0002913877205833175 gram / milliliter,,,3.57710619211625 dimensionless,0.44659721302786437 dimensionless
126,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.004409000000000001,O,0.995591,,,,,,,-127.34466374453041 kilogram * meter ** 2 / mole / second ** 2,15.52373013578172 kilogram * meter ** 2 / mole / second ** 2,,
127,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.2452,O,0.7548,-6.595532290908359e-07 meter ** 3 / mole,1.3139771631421811e-08 meter ** 3 / mole,,,,,,,,
128,308.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.78,O,0.22,-4.808891989283243e-07 meter ** 3 / mole,1.5126502829133e-08 meter ** 3 / mole,,,,,,,,
129,298.15 kelvin,101.325 kilopascal,2,1,CN1CCCCC1,1.0,,,,,,,0.8677094299599427 gram / milliliter,0.0002669154816783576 gram / milliliter,,,,
130,298.15 kelvin,101.325 kilopascal,2,1,COC=O,1.0,,,,,,,1.055771408293606 gram / milliliter,0.00036545943378905464 gram / milliliter,,,,
131,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1)O,1.0,,,,,73221.91065671321 kilogram * meter ** 2 / mole / second ** 2,205.40484363543146 kilogram * meter ** 2 / mole / second ** 2,,,,,,
132,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1OC)O,1.0,,,,,78208.95556961873 kilogram * meter ** 2 / mole / second ** 2,330.9899005678023 kilogram * meter ** 2 / mole / second ** 2,,,,,,
133,298.15 kelvin,101.325 kilopascal,6,1,COc1ccccn1,1.0,,,,,53434.98316475558 kilogram * meter ** 2 / mole / second ** 2,275.39273429492124 kilogram * meter ** 2 / mole / second ** 2,,,,,,
134,298.15 kelvin,101.325 kilopascal,6,1,COc1ccncc1,1.0,,,,,59029.24917435143 kilogram * meter ** 2 / mole / second ** 2,269.2854436030929 kilogram * meter ** 2 / mole / second ** 2,,,,,,
135,298.15 kelvin,101.0 kilopascal,2,2,CO,0.2,O,0.8,,,,,,,-197.5721376522015 kilogram * meter ** 2 / mole / second ** 2,15.839281573964366 kilogram * meter ** 2 / mole / second ** 2,,
136,298.15 kelvin,100.0 kilopascal,2,2,O,0.75,CO,0.25,-8.303711537303529e-07 meter ** 3 / mole,1.5133349029237568e-08 meter ** 3 / mole,,,,,,,,
137,298.15 kelvin,100.0 kilopascal,2,2,O,0.25,CO,0.75,-7.285522953129079e-07 meter ** 3 / mole,1.4120137848299959e-08 meter ** 3 / mole,,,,,,,,
138,298.15 kelvin,101.0 kilopascal,2,2,CO,0.8,O,0.2,,,,,,,-73.04006101870573 kilogram * meter ** 2 / mole / second ** 2,15.809564578698321 kilogram * meter ** 2 / mole / second ** 2,,
139,298.15 kelvin,101.0 kilopascal,2,1,CO,1.0,,,,,,,0.7776235324105426 gram / milliliter,0.00038053435190648575 gram / milliliter,,,15.464410917189346 dimensionless,0.7716235888134396 dimensionless
140,303.15 kelvin,101.0 kilopascal,2,1,CS(=O)C,1.0,,,,,,,1.1243365930751636 gram / milliliter,9.380422323667077e-05 gram / milliliter,,,51.90360288133748 dimensionless,1.4765488308102035 dimensionless
141,303.15 kelvin,101.325 kilopascal,2,1,CSSC,1.0,,,,,,,1.0278532761215047 gram / milliliter,0.00030532281910388125 gram / milliliter,,,,
142,298.15 kelvin,101.325 kilopascal,6,1,Cc1cc(sc1)C(=O)C,1.0,,,,,64203.00198392808 kilogram * meter ** 2 / mole / second ** 2,193.2297017996743 kilogram * meter ** 2 / mole / second ** 2,,,,,,
143,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccc(s1)C=O,1.0,,,,,56204.84011747812 kilogram * meter ** 2 / mole / second ** 2,242.20799542138334 kilogram * meter ** 2 / mole / second ** 2,,,,,,
144,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccc(n1)C,0.004618,O,0.995382,,,,,,,-69.3623841025983 kilogram * meter ** 2 / mole / second ** 2,15.076949768145912 kilogram * meter ** 2 / mole / second ** 2,,
145,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccc(n1)C,1.0,,,,,,,0.9169344256863108 gram / milliliter,0.0002860824645156702 gram / milliliter,,,,
146,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2374,c1ccncc1,0.7626,-3.503108350682915e-07 meter ** 3 / mole,1.8574773628997564e-08 meter ** 3 / mole,,,,,,,,
147,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2655,Cc1ccncc1,0.7344999999999999,-3.117119105479322e-07 meter ** 3 / mole,1.703617742275821e-08 meter ** 3 / mole,,,,,,,,
148,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2681,c1ccncc1,0.7319,,,,,,,-1286.7014944340808 kilogram * meter ** 2 / mole / second ** 2,18.897735156518454 kilogram * meter ** 2 / mole / second ** 2,,
149,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2715,Cc1ccncc1,0.7284999999999999,,,,,,,-1170.3136315021984 kilogram * meter ** 2 / mole / second ** 2,18.379145510643127 kilogram * meter ** 2 / mole / second ** 2,,
150,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7674,Cc1ccncc1,0.2326000000000001,-1.9835933598784546e-07 meter ** 3 / mole,1.6380715644682045e-08 meter ** 3 / mole,,,,,,,,
151,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7678,c1ccncc1,0.2322,-2.724698881513923e-07 meter ** 3 / mole,1.622130941486765e-08 meter ** 3 / mole,,,,,,,,
152,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7735,c1ccncc1,0.2265000000000001,,,,,,,-944.6012353289552 kilogram * meter ** 2 / mole / second ** 2,16.2991511993358 kilogram * meter ** 2 / mole / second ** 2,,
153,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7827,Cc1ccncc1,0.21730000000000005,,,,,,,-824.8008400059553 kilogram * meter ** 2 / mole / second ** 2,17.964440082699415 kilogram * meter ** 2 / mole / second ** 2,,
154,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccccc1N,1.0,,,,,,,1.0114691739142174 gram / milliliter,0.00023469726080238077 gram / milliliter,,,,
155,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccnc1,0.005509,O,0.994491,,,,,,,-36.66948239380872 kilogram * meter ** 2 / mole / second ** 2,14.620283197874343 kilogram * meter ** 2 / mole / second ** 2,,
156,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccnc1,1.0,,,,,,,0.9395425369818945 gram / milliliter,0.00032637218584562975 gram / milliliter,,,,
157,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccncc1,0.005492,O,0.994508,,,,,,,-31.295368443184998 kilogram * meter ** 2 / mole / second ** 2,14.641445827827402 kilogram * meter ** 2 / mole / second ** 2,,
158,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccncc1,1.0,,,,,,,0.9425930513970013 gram / milliliter,0.000359878684676545 gram / milliliter,,,,
159,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C#N,1.0,,,,,58909.05379642115 kilogram * meter ** 2 / mole / second ** 2,213.79183009075194 kilogram * meter ** 2 / mole / second ** 2,,,,,,
160,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C(=O)C,1.0,,,,,62989.162974905565 kilogram * meter ** 2 / mole / second ** 2,191.12844371329848 kilogram * meter ** 2 / mole / second ** 2,,,,,,
161,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C=O,1.0,,,,,60982.70583767334 kilogram * meter ** 2 / mole / second ** 2,227.84939561725844 kilogram * meter ** 2 / mole / second ** 2,,,,,,
162,298.15 kelvin,101.325 kilopascal,6,1,Cn1cccc1C(=O)OC,1.0,,,,,72673.14018012339 kilogram * meter ** 2 / mole / second ** 2,333.9440019380273 kilogram * meter ** 2 / mole / second ** 2,,,,,,
163,298.15 kelvin,101.0 kilopascal,2,2,Cn1ccnc1,0.006766,O,0.993234,,,,,,,-57.1472720569509 kilogram * meter ** 2 / mole / second ** 2,14.826623097673394 kilogram * meter ** 2 / mole / second ** 2,,
164,298.15 kelvin,101.325 kilopascal,2,1,Cn1ccnc1,1.0,,,,,,,1.0524345403129904 gram / milliliter,0.00026741877323672536 gram / milliliter,,,,
165,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.75,O,0.25,,,,,,,210.83404357297331 kilogram * meter ** 2 / mole / second ** 2,16.30478873911831 kilogram * meter ** 2 / mole / second ** 2,,
166,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.27,O,0.73,,,,,,,-11.886689870880218 kilogram * meter ** 2 / mole / second ** 2,16.30403978292682 kilogram * meter ** 2 / mole / second ** 2,,
167,296.3 kelvin,101.325 kilopascal,2,1,c1c(cc(c(c1F)F)F)F,1.0,,,,,,,1.245001695044805 gram / milliliter,0.0004199542477906955 gram / milliliter,,,,
168,298.15 kelvin,101.325 kilopascal,2,1,c1cc(cc(c1)Br)Cl,1.0,,,,,,,1.5163139054423762 gram / milliliter,0.0004288592493163061 gram / milliliter,,,,
169,298.15 kelvin,101.325 kilopascal,6,1,c1cc(cc(c1)Cl)F,1.0,,,,,38722.04019277697 kilogram * meter ** 2 / mole / second ** 2,240.34918265183686 kilogram * meter ** 2 / mole / second ** 2,,,,,,
170,296.1 kelvin,101.325 kilopascal,2,1,c1cc(ccc1F)F,1.0,,,,,,,1.0666825960373907 gram / milliliter,0.0003587903835418703 gram / milliliter,,,,
171,298.15 kelvin,101.325 kilopascal,6,1,c1cc(sc1)CC#N,1.0,,,,,60830.82442161858 kilogram * meter ** 2 / mole / second ** 2,251.92966902106795 kilogram * meter ** 2 / mole / second ** 2,,,,,,
172,298.15 kelvin,101.325 kilopascal,2,1,c1cc[nH]c1,1.0,,,,,,,0.9962856941015972 gram / milliliter,0.0003499450597271517 gram / milliliter,,,,
173,298.15 kelvin,101.325 kilopascal,2,1,c1ccc(c(c1)Cl)Br,1.0,,,,,,,1.531016124626994 gram / milliliter,0.0004121985569754147 gram / milliliter,,,,
174,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Br,1.0,,,,,43473.57845283364 kilogram * meter ** 2 / mole / second ** 2,248.24696188877692 kilogram * meter ** 2 / mole / second ** 2,,,,,,
175,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Cl,1.0,,,,,40658.11369759334 kilogram * meter ** 2 / mole / second ** 2,177.46084159367734 kilogram * meter ** 2 / mole / second ** 2,,,,,,
176,298.15 kelvin,101.325 kilopascal,2,1,c1ccc2c(c1)ccs2,1.0,,,,,,,1.153293503019753 gram / milliliter,0.0003388486081954024 gram / milliliter,,,,
177,298.15 kelvin,101.325 kilopascal,2,1,c1ccccc1,1.0,,,,,,,0.8532380855498461 gram / milliliter,0.0004253366260717116 gram / milliliter,,,,
178,298.0 kelvin,101.325 kilopascal,6,1,c1ccccc1,1.0,,,,,31650.860425282088 kilogram * meter ** 2 / mole / second ** 2,152.06987870464988 kilogram * meter ** 2 / mole / second ** 2,,,,,,
179,298.15 kelvin,101.325 kilopascal,2,1,c1ccncc1,1.0,,,,,,,0.9782460236249478 gram / milliliter,0.00036763227037866635 gram / milliliter,,,,
180,293.15 kelvin,101.325 kilopascal,2,1,c1ccoc1,1.0,,,,,,,0.9714480452641022 gram / milliliter,0.0003992624135391702 gram / milliliter,,,,
181,298.15 kelvin,101.0 kilopascal,2,1,c1cnc(nc1O)O,1.0,,,,,,,1.4427674556851604 gram / milliliter,0.00029793132348162726 gram / milliliter,,,,
182,298.15 kelvin,101.325 kilopascal,6,1,c1coc2c1C(=O)CCC2,1.0,,,,,71611.65892043666 kilogram * meter ** 2 / mole / second ** 2,209.8875383546483 kilogram * meter ** 2 / mole / second ** 2,,,,,,
183,298.15 kelvin,101.325 kilopascal,6,1,c1cscc1CC#N,1.0,,,,,62827.278385376 kilogram * meter ** 2 / mole / second ** 2,258.46845906540017 kilogram * meter ** 2 / mole / second ** 2,,,,,,
